BU_ID,Country,Region,Quarter,SKU_NUMBER,SKU_AGE,Category,Revenue,Margin,Revenue_Rng
11,United States,AMER,FY22Q3,325-BDKP,3,CHASSIS/COVER/PANEL/BEZEL,97.43,-0.366,Revenue < Mean
11,United States,AMER,FY22Q3,325-BDOI,3,NETWORKING CARDS,43.19,15.92,Revenue < Mean
11,United States,AMER,FY22Q3,325-BDRX,3,Accessories/Desktop,559.93,348.6,Revenue < Mean
11,United States,AMER,FY22Q3,325-BDWY,2,CHASSIS/COVER/PANEL/BEZEL,1065.35,424.57,Revenue < Mean
11,United States,AMER,FY22Q3,325-BDXB,2,NETWORKING CARDS,68300.34,26880.51,Revenue > Mean
11,United States,AMER,FY22Q3,325-BEBE,2,CHASSIS/COVER/PANEL/BEZEL,355.61,80.07,Revenue < Mean
11,United States,AMER,FY22Q3,330-0273,15,Enterprise Server HW,23.99,19.08,Revenue < Mean
11,United States,AMER,FY22Q3,330-0327,15,Networking,444.77,319.97,Revenue < Mean
11,United States,AMER,FY22Q3,330-0538,14,Enterprise Server HW,580.85,425.15,Revenue < Mean
11,United States,AMER,FY22Q3,330-0949,14,Enterprise Server HW,59.97,48.72,Revenue < Mean
11,United States,AMER,FY22Q3,330-1174,14,Enterprise Server HW,202.74,126.89,Revenue < Mean
11,United States,AMER,FY22Q3,330-1175,14,Enterprise Server HW,20.94,14.02,Revenue < Mean
11,United States,AMER,FY22Q3,330-3393,14,Enterprise Server HW,35.99,26.31,Revenue < Mean
11,United States,AMER,FY22Q3,330-3406,14,Networking,68.3,50.5,Revenue < Mean
11,United States,AMER,FY22Q3,330-4163,13,Enterprise Server HW,386.35,262.38,Revenue < Mean
11,United States,AMER,FY22Q3,330-5835,13,Enterprise Server HW,170.91,107.02,Revenue < Mean
11,United States,AMER,FY22Q3,330-8105,13,POWER SUPPLY,35868.77,23315.19,Revenue > Mean
11,United States,AMER,FY22Q3,331-5817,11,Power Peripherals Fulfilled,38736.68,27574.37,Revenue > Mean
11,United States,AMER,FY22Q3,331-7957,10,Power Peripherals Fulfilled,14751.28,11264.7,Revenue < Mean
11,United States,AMER,FY22Q3,331-8833,10,Power Peripherals Fulfilled,64939.09,46276.88,Revenue > Mean
11,United States,AMER,FY22Q3,331-9319,10,Power Peripherals Fulfilled,5300.02,3357.39,Revenue < Mean
11,United States,AMER,FY22Q3,332-1432,9,Power Peripherals Fulfilled,5656.41,3691.71,Revenue < Mean
11,United States,AMER,FY22Q3,332-1827,9,Power Peripherals Fulfilled,20219.0,14604.74,Revenue > Mean
11,United States,AMER,FY22Q3,332-1829,9,Power Peripherals Fulfilled,126338.39,82324.34,Revenue > Mean
11,United States,AMER,FY22Q3,332-1831,9,Power Peripherals Fulfilled,171901.95,107732.84,Revenue > Mean
11,United States,AMER,FY22Q3,332-1833,9,Power Peripherals Fulfilled,101918.21,68026.45,Revenue > Mean
11,United States,AMER,FY22Q3,3324J,2,BATTERY,1066.89,745.6,Revenue < Mean
11,United States,AMER,FY22Q3,338-BSTD,3,Processor,16516.72,4691.36,Revenue < Mean
11,United States,AMER,FY22Q3,338-BSTL,3,Processor,497.99,283.65,Revenue < Mean
11,United States,AMER,FY22Q3,338-BSTZ,3,Processor,7303.84,365.12,Revenue < Mean
11,United States,AMER,FY22Q3,379-BEUP,1,ORDER ADJUSTMENT,558203.0,558143.55,Revenue > Mean
11,United States,AMER,FY22Q3,389-DQQM,3,LABELS,30400.0,2640.0,Revenue > Mean
11,United States,AMER,FY22Q3,389-DSCT,3,ACCESSORIES,12613.28,931.74,Revenue < Mean
11,United States,AMER,FY22Q3,389-DSDH,3,ACCESSORIES,111497.12,-8390.06,Revenue > Mean
11,United States,AMER,FY22Q3,389-DSEI,3,ACCESSORIES,235132.97,-10151.148,Revenue > Mean
11,United States,AMER,FY22Q3,39DY5,5,BATTERY,40960.33,33194.13,Revenue > Mean
11,United States,AMER,FY22Q3,3CRH3,6,BATTERY,1974.33,1688.38,Revenue < Mean
11,United States,AMER,FY22Q3,3VC9Y,6,BATTERY,185.88,151.28,Revenue < Mean
11,United States,AMER,FY22Q3,400-AEMC,8,HD,22344.87,10271.51,Revenue > Mean
11,United States,AMER,FY22Q3,400-APYM,6,HD,17658.89,9178.87,Revenue > Mean
11,United States,AMER,FY22Q3,400-AXBJ,5,HD,217.66,156.03,Revenue < Mean
11,United States,AMER,FY22Q3,400-AXBK,5,HD,37.06,17.63,Revenue < Mean
11,United States,AMER,FY22Q3,400-AXBL,5,HD,76.45,55.78,Revenue < Mean
11,United States,AMER,FY22Q3,400-AXBM,5,HD,78.52,59.59,Revenue < Mean
11,United States,AMER,FY22Q3,400-AXZW,4,HD,34703.89,12192.09,Revenue > Mean
11,United States,AMER,FY22Q3,400-AYLK,4,HD,2652.5,1164.83,Revenue < Mean
11,United States,AMER,FY22Q3,400-AYTC,4,HD,15600.2,6819.23,Revenue < Mean
11,United States,AMER,FY22Q3,400-AYTD,4,HD,20506.8,8206.4,Revenue > Mean
11,United States,AMER,FY22Q3,400-AZWH,4,HD,2232.77,1257.34,Revenue < Mean
11,United States,AMER,FY22Q3,400-BBMR,4,HD,215.88,114.01,Revenue < Mean
11,United States,AMER,FY22Q3,400-BBSF,4,HD,1324.0,-688.0,Revenue < Mean
11,United States,AMER,FY22Q3,400-BBSH,4,ACCESSORIES,55.89,29.64,Revenue < Mean
11,United States,AMER,FY22Q3,400-BFCX,3,HD,3849.54,3140.16,Revenue < Mean
11,United States,AMER,FY22Q3,400-BFIR,3,HD,5400.53,3097.64,Revenue < Mean
11,United States,AMER,FY22Q3,400-BFOF,3,HD,482.35,236.75,Revenue < Mean
11,United States,AMER,FY22Q3,400-BFVW,3,HD,46366.69,26846.99,Revenue > Mean
11,United States,AMER,FY22Q3,400-BIDQ,3,HD,6177.75,3613.04,Revenue < Mean
11,United States,AMER,FY22Q3,400-BKNW,2,HD,50.39,13.33,Revenue < Mean
11,United States,AMER,FY22Q3,400-BLMB,2,BATTERY,107.99,60.64,Revenue < Mean
11,United States,AMER,FY22Q3,400-BLZW,1,HD,1744.39,567.3,Revenue < Mean
11,United States,AMER,FY22Q3,401-ABZU,2,HD,7066.01,4079.02,Revenue < Mean
11,United States,AMER,FY22Q3,403-BBUH,5,NETWORKING CARDS,1743.24,1260.2,Revenue < Mean
11,United States,AMER,FY22Q3,403-BBUI,5,HD,521.58,338.918,Revenue < Mean
11,United States,AMER,FY22Q3,413-BBBQ,8,NETWORKING CARDS,31.98,18.4,Revenue < Mean
11,United States,AMER,FY22Q3,414-BBFJ,2,HD,4615.65,1206.86,Revenue < Mean
11,United States,AMER,FY22Q3,414-BBHF,2,HD,7238.13,-356.79,Revenue < Mean
11,United States,AMER,FY22Q3,429-AANH,9,CD-ROM,1213.63,464.03,Revenue < Mean
11,United States,AMER,FY22Q3,429-AAUQ,7,HD,1503265.67,574057.551,Revenue > Mean
11,United States,AMER,FY22Q3,429-AAYT,6,CD-ROM,13896.08,7355.844,Revenue < Mean
11,United States,AMER,FY22Q3,429-AAYU,6,CD-ROM,79.98,48.78,Revenue < Mean
11,United States,AMER,FY22Q3,429-AAZP,6,ACCESSORIES,98.88,21.79,Revenue < Mean
11,United States,AMER,FY22Q3,429-AAZZ,6,CD-ROM,1498.07,671.79,Revenue < Mean
11,United States,AMER,FY22Q3,429-ABBG,6,CD-ROM,1587.51,1055.806,Revenue < Mean
11,United States,AMER,FY22Q3,429-ABFL,5,CD-ROM,28030.58,12618.578,Revenue > Mean
11,United States,AMER,FY22Q3,429-ABFY,5,CD-ROM,545.81,256.79,Revenue < Mean
11,United States,AMER,FY22Q3,429-ABFZ,5,CD-ROM,29.55,14.42,Revenue < Mean
11,United States,AMER,FY22Q3,429-ABKB,3,CD-ROM,29.99,15.53,Revenue < Mean
11,United States,AMER,FY22Q3,429-ABKC,3,CD-ROM,1205.34,508.86,Revenue < Mean
11,United States,AMER,FY22Q3,444-BBCV,2,ACCESSORIES,161.87,65.72,Revenue < Mean
11,United States,AMER,FY22Q3,450-AAYQ,9,ACCESSORIES,47827.53,33151.15,Revenue > Mean
11,United States,AMER,FY22Q3,450-AAYR,9,ACCESSORIES,36805.28,23851.86,Revenue > Mean
11,United States,AMER,FY22Q3,450-ABJO,9,CABLE,7931.14,5400.54,Revenue < Mean
11,United States,AMER,FY22Q3,450-ABJU,9,ACCESSORIES,23280.87,18168.34,Revenue > Mean
11,United States,AMER,FY22Q3,450-ABKO,9,CABLE,237.28,155.0,Revenue < Mean
11,United States,AMER,FY22Q3,450-AELT,8,ACCESSORIES,2910.84,1988.62,Revenue < Mean
11,United States,AMER,FY22Q3,450-AFDC,7,CABLE,170.95,77.05,Revenue < Mean
11,United States,AMER,FY22Q3,450-AGCU,6,ACCESSORIES,101287.38,76688.36,Revenue > Mean
11,United States,AMER,FY22Q3,450-AGCX,6,ACCESSORIES,145099.09,92256.23,Revenue > Mean
11,United States,AMER,FY22Q3,450-AHDJ,5,ACCESSORIES,73856.83,50292.31,Revenue > Mean
11,United States,AMER,FY22Q3,450-AHHE,4,ACCESSORIES,85464.79,54543.2,Revenue > Mean
11,United States,AMER,FY22Q3,450-AHMX,4,POWER SUPPLY,22.18,10.44,Revenue < Mean
11,United States,AMER,FY22Q3,450-AHOM,4,ACCESSORIES,549548.01,266568.31,Revenue > Mean
11,United States,AMER,FY22Q3,450-AHVD,4,ACCESSORIES,19389.01,8095.71,Revenue > Mean
11,United States,AMER,FY22Q3,450-AHWI,4,POWER SUPPLY,3636.09,1998.01,Revenue < Mean
11,United States,AMER,FY22Q3,450-AJXE,2,CABLE,18.45,7.14,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBFS,9,BATTERY,6706.37,4797.77,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBFV,9,BATTERY,3858.77,2550.81,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBFX,9,BATTERY,14672.85,9677.734,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBKV,8,BATTERY,121216.79,45023.22,Revenue > Mean
11,United States,AMER,FY22Q3,451-BBLH,8,BATTERY,6011.99,4420.78,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBLJ,8,BATTERY,5373.33,4112.61,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBOR,7,BATTERY,4881.64,3091.374,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBQE,7,BATTERY,6556.08,4168.684,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBSU,7,BATTERY,39531.27,25761.96,Revenue > Mean
11,United States,AMER,FY22Q3,451-BBSX,7,BATTERY,18324.0,11882.374,Revenue > Mean
11,United States,AMER,FY22Q3,451-BBSY,7,BATTERY,33486.21,24532.84,Revenue > Mean
11,United States,AMER,FY22Q3,451-BBUJ,7,BATTERY,4719.5,3251.142,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBUK,7,BATTERY,6117.95,4085.814,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBUM,7,BATTERY,1075.26,752.128,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBUN,7,BATTERY,57072.42,35882.34,Revenue > Mean
11,United States,AMER,FY22Q3,451-BBUP,7,BATTERY,9059.96,6301.21,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBUQ,7,BATTERY,16125.53,10004.03,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBWN,6,BATTERY,508.25,131.9,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBWZ,6,BATTERY,6358.56,2893.17,Revenue < Mean
11,United States,AMER,FY22Q3,451-BBZG,6,BATTERY,382831.28,229247.41,Revenue > Mean
11,United States,AMER,FY22Q3,451-BBZH,6,BATTERY,34220.01,17887.662,Revenue > Mean
11,United States,AMER,FY22Q3,451-BBZP,6,BATTERY,22943.33,16792.174,Revenue > Mean
11,United States,AMER,FY22Q3,451-BBZT,6,BATTERY,81018.79,51527.586,Revenue > Mean
11,United States,AMER,FY22Q3,451-BBZU,6,BATTERY,549.16,358.896,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCCO,5,BATTERY,5562.88,2133.44,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCDH,5,BATTERY,107386.7,64836.736,Revenue > Mean
11,United States,AMER,FY22Q3,451-BCDM,5,BATTERY,58571.04,40319.362,Revenue > Mean
11,United States,AMER,FY22Q3,451-BCDN,5,BATTERY,38807.81,29825.816,Revenue > Mean
11,United States,AMER,FY22Q3,451-BCEV,5,BATTERY,219894.64,65247.456,Revenue > Mean
11,United States,AMER,FY22Q3,451-BCGI,4,BATTERY,60612.37,33129.356,Revenue > Mean
11,United States,AMER,FY22Q3,451-BCGO,4,BATTERY,9925.84,5886.756,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCGQ,4,BATTERY,2911.32,1391.924,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCHS,4,BATTERY,79973.09,43919.42,Revenue > Mean
11,United States,AMER,FY22Q3,451-BCJE,4,BATTERY,83.99,46.59,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCJL,4,BATTERY,70.99,44.61,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCJW,4,BATTERY,139.99,116.06,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCLG,3,BATTERY,28811.88,20523.44,Revenue > Mean
11,United States,AMER,FY22Q3,451-BCLH,3,BATTERY,51908.82,35666.836,Revenue > Mean
11,United States,AMER,FY22Q3,451-BCLI,3,BATTERY,10699.75,8117.358,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCML,3,BATTERY,30849.05,20963.47,Revenue > Mean
11,United States,AMER,FY22Q3,451-BCMN,3,BATTERY,33793.03,22648.678,Revenue > Mean
11,United States,AMER,FY22Q3,451-BCNN,3,BATTERY,17216.75,10765.222,Revenue > Mean
11,United States,AMER,FY22Q3,451-BCNT,3,BATTERY,1264.68,892.08,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCNU,3,BATTERY,543.15,300.35,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCNW,3,BATTERY,19282.8,12773.154,Revenue > Mean
11,United States,AMER,FY22Q3,451-BCNX,3,ACCESSORIES,87.59,53.6,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCQY,2,BATTERY,166.78,116.32,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCTB,2,BATTERY,1623.42,1128.16,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCTF,2,BATTERY,569.07,390.998,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCTH,2,BATTERY,569.73,409.24,Revenue < Mean
11,United States,AMER,FY22Q3,451-BCUY,2,BATTERY,48.4,0.44,Revenue < Mean
11,United States,AMER,FY22Q3,452-BDGZ,4,ACCESSORIES,154.29,53.91,Revenue < Mean
11,United States,AMER,FY22Q3,452-BDOL,3,ACCESSORIES,643.13,79.12,Revenue < Mean
11,United States,AMER,FY22Q3,452-BDQY,2,ACCESSORIES,29.95,12.36,Revenue < Mean
11,United States,AMER,FY22Q3,453-BBCP,2,BATTERY,1258.5,849.45,Revenue < Mean
11,United States,AMER,FY22Q3,453-BBCQ,2,BATTERY,3745.82,1862.594,Revenue < Mean
11,United States,AMER,FY22Q3,460-BDDK,2,ACCESSORIES,218.68,47.236,Revenue < Mean
11,United States,AMER,FY22Q3,460-BDDL,2,ACCESSORIES,94.08,49.752,Revenue < Mean
11,United States,AMER,FY22Q3,460-BDGI,1,CHASSIS/COVER/PANEL/BEZEL,15786.71,7891.68,Revenue < Mean
11,United States,AMER,FY22Q3,461-AAGJ,4,ACCESSORIES,85.36,5.73,Revenue < Mean
11,United States,AMER,FY22Q3,461-AAII,1,ACCESSORIES,6760.13,2033.56,Revenue < Mean
11,United States,AMER,FY22Q3,469-4546,9,Power Peripherals Fulfilled,2038.99,1316.31,Revenue < Mean
11,United States,AMER,FY22Q3,469-4593,9,Power Peripherals Fulfilled,177.56,135.52,Revenue < Mean
11,United States,AMER,FY22Q3,469-4595,9,Power Peripherals Fulfilled,5026.42,3213.02,Revenue < Mean
11,United States,AMER,FY22Q3,469-5283,6,BATTERY,24860.17,9828.07,Revenue > Mean
11,United States,AMER,FY22Q3,469-5571,4,BATTERY,7325.37,3473.584,Revenue < Mean
11,United States,AMER,FY22Q3,470-0152,9,Networking,13355.24,6659.83,Revenue < Mean
11,United States,AMER,FY22Q3,470-AANH,9,Networking,77694.43,28905.28,Revenue > Mean
11,United States,AMER,FY22Q3,470-ABHD,8,BRACKETS/SHIELDS/CLIPS,275.43,186.712,Revenue < Mean
11,United States,AMER,FY22Q3,470-ABMZ,7,Networking,38662.18,18410.956,Revenue > Mean
11,United States,AMER,FY22Q3,470-ABNC,7,Networking,22658.11,12306.16,Revenue > Mean
11,United States,AMER,FY22Q3,470-ABND,7,Networking,453366.39,222536.99,Revenue > Mean
11,United States,AMER,FY22Q3,470-ABNE,7,Networking,44883.45,23166.82,Revenue > Mean
11,United States,AMER,FY22Q3,470-ABZX,6,Networking,172780.5,54940.1,Revenue > Mean
11,United States,AMER,FY22Q3,470-ACFC,6,Networking,17470.37,12185.44,Revenue > Mean
11,United States,AMER,FY22Q3,470-ACFH,6,Power Peripherals Fulfilled,112.0,-15.68,Revenue < Mean
11,United States,AMER,FY22Q3,470-ACVB,5,NETWORKING CARDS,290.45,224.3,Revenue < Mean
11,United States,AMER,FY22Q3,470-ACVC,5,CABLE,425.32,250.776,Revenue < Mean
11,United States,AMER,FY22Q3,470-ADFR,4,CABLE,889.83,448.87,Revenue < Mean
11,United States,AMER,FY22Q3,470-ADGB,4,CABLE,265.49,24.69,Revenue < Mean
11,United States,AMER,FY22Q3,470-AEZQ,1,CABLE,1049.04,478.92,Revenue < Mean
11,United States,AMER,FY22Q3,486-BBFQ,2,ACCESSORIES,164691.76,25073.257,Revenue > Mean
11,United States,AMER,FY22Q3,490-BBVN,8,VIDEO BOARD,1577.01,675.09,Revenue < Mean
11,United States,AMER,FY22Q3,490-BEFP,5,VIDEO BOARD,209.43,106.65,Revenue < Mean
11,United States,AMER,FY22Q3,490-BFDB,3,VIDEO BOARD,56186.69,12751.3,Revenue > Mean
11,United States,AMER,FY22Q3,490-BFHK,3,VIDEO BOARD,1058.09,575.34,Revenue < Mean
11,United States,AMER,FY22Q3,490-BFKT,3,VIDEO BOARD,257.58,124.7,Revenue < Mean
11,United States,AMER,FY22Q3,490-BFQR,3,VIDEO BOARD,4637.3,716.55,Revenue < Mean
11,United States,AMER,FY22Q3,490-BFQS,3,VIDEO BOARD,5701.6,-101.11,Revenue < Mean
11,United States,AMER,FY22Q3,490-BGBN,2,VIDEO BOARD,4055.57,-655.47,Revenue < Mean
11,United States,AMER,FY22Q3,490-BGSR,1,VIDEO BOARD,136676.87,9607.83,Revenue > Mean
11,United States,AMER,FY22Q3,490-BGTG,1,VIDEO BOARD,109.99,53.66,Revenue < Mean
11,United States,AMER,FY22Q3,490-BGTI,1,VIDEO BOARD,910.23,375.37,Revenue < Mean
11,United States,AMER,FY22Q3,490-BGXU,1,VIDEO BOARD,24036.01,6030.589,Revenue > Mean
11,United States,AMER,FY22Q3,490-BGXW,1,VIDEO BOARD,53596.12,4133.95,Revenue > Mean
11,United States,AMER,FY22Q3,490-BGXX,1,VIDEO BOARD,116423.21,7779.97,Revenue > Mean
11,United States,AMER,FY22Q3,490-BGXY,1,VIDEO BOARD,2774.09,791.674,Revenue < Mean
11,United States,AMER,FY22Q3,490-BGYC,1,VIDEO BOARD,100160.97,21910.65,Revenue > Mean
11,United States,AMER,FY22Q3,490-BGZT,1,VIDEO BOARD,11399.94,3825.63,Revenue < Mean
11,United States,AMER,FY22Q3,490-BGZZ,1,VIDEO BOARD,7197.31,2503.1,Revenue < Mean
11,United States,AMER,FY22Q3,490-BHCL,1,VIDEO BOARD,5303.99,1621.56,Revenue < Mean
11,United States,AMER,FY22Q3,490-BHDV,1,VIDEO BOARD,753.47,173.07,Revenue < Mean
11,United States,AMER,FY22Q3,490-BHDW,1,VIDEO BOARD,6275.94,3031.65,Revenue < Mean
11,United States,AMER,FY22Q3,490-BHIQ,1,VIDEO BOARD,401.04,79.02,Revenue < Mean
11,United States,AMER,FY22Q3,492-BBGP,9,ACCESSORIES,19439.03,13922.88,Revenue > Mean
11,United States,AMER,FY22Q3,492-BBHG,9,Power Peripherals Fulfilled,110845.64,41884.28,Revenue > Mean
11,United States,AMER,FY22Q3,492-BBKH,8,ACCESSORIES,150205.39,96097.47,Revenue > Mean
11,United States,AMER,FY22Q3,492-BBME,8,ACCESSORIES,286246.43,215505.33,Revenue > Mean
11,United States,AMER,FY22Q3,492-BBOF,8,ACCESSORIES,287902.43,213884.0,Revenue > Mean
11,United States,AMER,FY22Q3,492-BBOM,8,ACCESSORIES,22859.62,12616.61,Revenue > Mean
11,United States,AMER,FY22Q3,492-BBOU,8,Power Peripherals Fulfilled,64580.39,42240.59,Revenue > Mean
11,United States,AMER,FY22Q3,492-BBUR,6,ACCESSORIES,32.79,16.33,Revenue < Mean
11,United States,AMER,FY22Q3,492-BBUU,6,ACCESSORIES,201415.28,90175.36,Revenue > Mean
11,United States,AMER,FY22Q3,492-BBXP,6,ACCESSORIES,138276.45,96301.9,Revenue > Mean
11,United States,AMER,FY22Q3,492-BBXU,6,Networking,3035.72,1418.22,Revenue < Mean
11,United States,AMER,FY22Q3,492-BBYH,6,ACCESSORIES,33399.16,25553.6,Revenue > Mean
11,United States,AMER,FY22Q3,492-BBZP,6,ACCESSORIES,43295.76,33346.81,Revenue > Mean
11,United States,AMER,FY22Q3,492-BBZU,6,ACCESSORIES,30517.28,24038.1,Revenue > Mean
11,United States,AMER,FY22Q3,492-BCBK,6,ACCESSORIES,606194.49,139509.98,Revenue > Mean
11,United States,AMER,FY22Q3,492-BCFG,5,ACCESSORIES,7443.78,4242.88,Revenue < Mean
11,United States,AMER,FY22Q3,492-BCKC,4,ACCESSORIES,135495.05,79733.06,Revenue > Mean
11,United States,AMER,FY22Q3,492-BCKL,4,ACCESSORIES,1427.95,438.51,Revenue < Mean
11,United States,AMER,FY22Q3,492-BCKR,4,ACCESSORIES,1425.43,980.66,Revenue < Mean
11,United States,AMER,FY22Q3,492-BCKT,4,NETWORKING CARDS,105.83,70.75,Revenue < Mean
11,United States,AMER,FY22Q3,492-BCKW,4,ACCESSORIES,122566.2,79899.14,Revenue > Mean
11,United States,AMER,FY22Q3,492-BCNT,4,ACCESSORIES,5030.18,3537.23,Revenue < Mean
11,United States,AMER,FY22Q3,492-BCNW,4,ACCESSORIES,1556117.64,1009319.72,Revenue > Mean
11,United States,AMER,FY22Q3,492-BCOC,4,ACCESSORIES,34676.58,17617.03,Revenue > Mean
11,United States,AMER,FY22Q3,492-BCQP,3,Accessories/Desktop,206.2,122.17,Revenue < Mean
11,United States,AMER,FY22Q3,492-BCRL,3,ACCESSORIES,206.3,85.26,Revenue < Mean
11,United States,AMER,FY22Q3,492-BDBZ,2,ACCESSORIES,24654.33,18002.85,Revenue > Mean
11,United States,AMER,FY22Q3,4F5YV,7,BATTERY,6989.12,5135.62,Revenue < Mean
11,United States,AMER,FY22Q3,4K8YH,8,BATTERY,2618.76,2313.24,Revenue < Mean
11,United States,AMER,FY22Q3,5120P,23,Enterprise Server HW,16.89,13.5,Revenue < Mean
11,United States,AMER,FY22Q3,520-AAVF,1,SOUND/SPEAKERS/MULTIMEDIA,60053.29,20541.24,Revenue > Mean
11,United States,AMER,FY22Q3,520-AAWU,1,SOUND/SPEAKERS/MULTIMEDIA,153265.99,35436.1,Revenue > Mean
11,United States,AMER,FY22Q3,534-BBBK,8,HD,1154.31,370.87,Revenue < Mean
11,United States,AMER,FY22Q3,537-BBBW,9,CABLE,3040.33,1595.17,Revenue < Mean
11,United States,AMER,FY22Q3,53XP7,1,BATTERY,1507.98,887.34,Revenue < Mean
11,United States,AMER,FY22Q3,540-BBJD,8,NETWORKING CARDS,10667.33,4574.52,Revenue < Mean
11,United States,AMER,FY22Q3,540-BBMO,7,NETWORKING CARDS,17761.17,1157.25,Revenue > Mean
11,United States,AMER,FY22Q3,540-BBXT,5,NETWORKING CARDS,246.92,146.99,Revenue < Mean
11,United States,AMER,FY22Q3,540-BCGU,4,NETWORKING CARDS,777.31,436.03,Revenue < Mean
11,United States,AMER,FY22Q3,540-BCGW,4,Accessories/Desktop,3128.67,903.26,Revenue < Mean
11,United States,AMER,FY22Q3,540-BCHX,4,NETWORKING CARDS,254.99,155.06,Revenue < Mean
11,United States,AMER,FY22Q3,540-BDCB,1,NETWORKING CARDS,905.18,545.938,Revenue < Mean
